CacheSize,BlockSize,Associativity,WritePolicy,WriteMissPolicy,EvictPolicy,TotalReads,ReadMisses,TotalWrites,WriteMisses,TotalLatency
2048,128,4,--WriteBack,--NoWriteAllocate,--LRU,112576,3331,65042,4599,2492394
2048,128,4,--WriteThrough,--WriteAllocate,--LRU,112576,3086,65042,763,15688874
2048,128,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,3331,65042,4599,15574914
2048,128,8,--WriteBack,--WriteAllocate,--LRU,112576,2694,65042,688,1540234
2048,128,8,--WriteBack,--NoWriteAllocate,--LRU,112576,3000,65042,4246,2324314
2048,128,8,--WriteThrough,--WriteAllocate,--LRU,112576,2694,65042,688,15586134
2048,128,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,3000,65042,4246,15502094
2048,128,16,--WriteBack,--WriteAllocate,--LRU,112576,2415,65042,592,1429354
2048,128,16,--WriteBack,--NoWriteAllocate,--LRU,112576,2747,65042,3851,2170534
2048,128,16,--WriteThrough,--WriteAllocate,--LRU,112576,2415,65042,592,15503634
2048,128,16,--WriteThrough,--NoWriteAllocate,--LRU,112576,2747,65042,3851,15446434
2048,256,1,--WriteBack,--WriteAllocate,--LRU,112576,14759,65042,3312,5943754
2048,256,1,--WriteBack,--NoWriteAllocate,--LRU,112576,14885,65042,11711,7240874
2048,256,1,--WriteThrough,--WriteAllocate,--LRU,112576,14759,65042,3312,18817714
2048,256,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,14885,65042,11711,18116794
2048,256,2,--WriteBack,--WriteAllocate,--LRU,112576,8092,65042,1405,3331914
2048,256,2,--WriteBack,--NoWriteAllocate,--LRU,112576,8379,65042,7835,4585914
2048,256,2,--WriteThrough,--WriteAllocate,--LRU,112576,8092,65042,1405,16931434
2048,256,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,8379,65042,7835,16685474
2048,256,4,--WriteBack,--WriteAllocate,--LRU,112576,7153,65042,1035,2907094
2048,256,4,--WriteBack,--NoWriteAllocate,--LRU,112576,6812,65042,7036,3960234
2048,256,4,--WriteThrough,--WriteAllocate,--LRU,112576,7153,65042,1035,16643454
2048,256,4,--WriteThrough,--NoWriteAllocate,--LRU,112576,6812,65042,7036,16340734
2048,256,8,--WriteBack,--WriteAllocate,--LRU,112576,6330,65042,1026,2718774
2048,256,8,--WriteBack,--NoWriteAllocate,--LRU,112576,6640,65042,6415,3819874
2048,256,8,--WriteThrough,--WriteAllocate,--LRU,112576,6330,65042,1026,16460414
2048,256,8,--WriteThrough,--NoWriteAllocate,--LRU,112576,6640,65042,6415,16302894
2048,512,1,--WriteBack,--WriteAllocate,--LRU,112576,20396,65042,4802,7992394
2048,512,1,--WriteBack,--NoWriteAllocate,--LRU,112576,19072,65042,12672,8449114
2048,512,1,--WriteThrough,--WriteAllocate,--LRU,112576,20396,65042,4802,20385654
2048,512,1,--WriteThrough,--NoWriteAllocate,--LRU,112576,19072,65042,12672,19037934
2048,512,2,--WriteBack,--WriteAllocate,--LRU,112576,11921,65042,2191,4592954
2048,512,2,--WriteBack,--NoWriteAllocate,--LRU,112576,12134,65042,10276,6042974
2048,512,2,--WriteThrough,--WriteAllocate,--LRU,112576,11921,65042,2191,17946734
2048,512,2,--WriteThrough,--NoWriteAllocate,--LRU,112576,12134,65042,10276,17511574
